,city,state,latitude,longitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
1,Anaheim,CA,33.834184782608695,-117.91141304347826,25.86413043478261,2248.6195652173915,461.62295081967216,1327.6521739130435,434.1739130434783,4.272000543478261,215800.00543478265
2,Anderson,CA,40.445,-122.295,31.0,1278.0,318.0,767.0,280.0,1.52415,58300.0
3,Antioch,CA,37.99829268292683,-121.81341463414635,25.682926829268293,3075.756097560976,549.9268292682926,1496.0487804878048,515.2439024390244,3.8135975609756096,135736.58536585365
4,Atwater,CA,37.35636363636364,-120.59636363636363,20.454545454545453,2521.0,531.6,1521.8181818181818,485.9090909090909,2.9360363636363638,88572.72727272728
5,Bakersfield,CA,35.36235294117647,-119.0175816993464,28.437908496732025,2790.954248366013,561.3026315789474,1504.5424836601308,525.8366013071895,2.9048869281045757,83654.24836601307
6,Berkeley,CA,37.871875,-122.27357142857144,48.875,1946.1875,422.0982142857143,940.1607142857144,401.1696428571428,3.5703866071428574,248342.86607142855
7,Blue Lake,CA,40.88,-123.98,41.0,1719.0,372.0,844.0,336.0,2.6923,84200.0
8,Brawley,CA,32.97909090909091,-115.53,24.818181818181817,1783.2727272727273,379.09090909090907,1218.7272727272727,365.3636363636364,2.550027272727273,76618.18181818182
9,Burbank,CA,34.179350649350646,-118.32857142857142,38.64935064935065,2310.6363636363635,515.6103896103896,1157.87012987013,491.64935064935065,3.906625974025974,263035.06493506493
10,Calabasas,CA,34.13,-118.68,9.0,11251.0,1594.0,3029.0,1227.0,6.7273,500001.0
11,Calipatria,CA,33.125,-115.52,28.0,1218.0,272.5,895.0,242.0,2.02115,57100.0
12,Carlsbad,CA,33.13054054054054,-117.29918918918918,13.756756756756756,4716.2972972972975,871.2972972972973,1987.4054054054052,787.3243243243244,4.727656756756757,262064.94594594595
13,Carson,CA,33.83304347826087,-118.2591304347826,29.58695652173913,2795.782608695652,555.0,1924.1521739130435,543.3695652173913,4.287726086956522,180426.08695652173
14,Chico,CA,39.74055555555556,-121.84027777777776,30.63888888888889,3676.1111111111113,777.3055555555555,1859.861111111111,742.1944444444445,2.327608333333333,104386.11111111112
15,Chowchilla,CA,37.115,-120.265,27.666666666666668,1687.5,346.0,900.3333333333334,336.8333333333333,2.023516666666666,61316.66666666666
16,Chula Vista,CA,32.62592592592593,-117.06061728395062,24.37037037037037,2959.41975308642,617.4375,1668.7530864197531,589.5308641975308,3.4893469135802464,155495.06172839506
17,City of Bakersfield,CA,35.35,-119.03,34.0,1441.0,294.0,695.0,275.0,2.6875,73700.0
18,City of Shafter,CA,35.501999999999995,-119.254,33.2,1645.2,367.4,1086.2,339.8,2.25726,65300.0
19,Cloverdale,CA,38.806666666666665,-123.01666666666668,33.666666666666664,1011.0,232.66666666666663,511.6666666666667,218.66666666666663,3.2610333333333337,137566.66666666666
20,Concord,CA,37.96736263736264,-122.01362637362637,25.296703296703296,2624.6813186813188,499.3,1245.3516483516485,479.7032967032967,4.309252747252748,189731.86813186813
21,Corona,CA,33.86837837837838,-117.56918918918916,19.486486486486488,4431.891891891892,796.3243243243244,2316.0,730.5945945945946,3.896916216216217,170816.24324324325
22,Costa Mesa,CA,33.65671428571428,-117.91485714285716,24.01428571428572,2694.5857142857144,603.7101449275362,1411.7142857142858,564.8714285714286,4.349517142857143,257787.14285714287
23,Cupertino,CA,37.31678571428571,-122.04178571428572,24.5,3435.1071428571427,592.8928571428571,1555.25,567.7142857142857,6.763585714285715,404457.28571428574
24,Daly City,CA,37.6834375,-122.4740625,30.9375,3148.625,653.6774193548387,2108.6875,661.6875,4.336584375,266496.875
25,Downey,CA,33.93571428571428,-118.12934065934068,33.32967032967033,1943.868131868132,412.3076923076923,1109.7912087912089,397.3626373626374,4.059452747252747,226210.989010989
26,El Cajon,CA,32.79790322580645,-116.94419354838708,21.693548387096776,3939.516129032258,801.5901639344262,2082.483870967742,763.0,3.625922580645162,167322.5806451613
27,El Centro,CA,32.78967741935484,-115.5641935483871,22.193548387096776,1570.8064516129032,345.16129032258067,1058.6774193548388,326.1290322580645,3.007683870967742,79796.7741935484
28,El Monte,CA,34.05451612903226,-118.03070967741934,32.748387096774195,2505.664516129032,529.2922077922078,1854.4451612903224,512.6645161290322,3.7402096774193545,206856.7935483871
29,Elk Grove,CA,38.43628571428572,-121.39057142857143,16.571428571428573,5842.085714285714,1020.5142857142856,2854.7714285714287,948.8571428571428,3.94116,138142.85714285713
30,Escondido,CA,33.128571428571426,-117.07678571428572,18.553571428571427,3979.321428571429,803.7142857142857,2099.428571428572,754.3928571428571,3.704628571428572,179583.92857142858
31,Eureka,CA,40.78787878787879,-124.1609090909091,41.42424242424242,1811.6060606060605,380.4848484848485,869.3939393939394,360.1515151515151,2.2547333333333333,78151.51515151515
32,Fairfield,CA,38.26,-122.0390625,23.5,3809.59375,726.25,2095.3125,700.65625,3.764771875,127209.375
33,Fillmore,CA,34.4,-118.91,30.0,2861.0,613.0,2065.0,586.0,3.2024,176100.0
34,Fontana,CA,34.08886363636364,-117.4465909090909,18.227272727272727,4013.477272727273,793.2272727272727,2329.431818181818,708.7727272727273,3.204902272727273,121031.81818181818
35,Fort Bragg,CA,39.44,-123.8,42.5,1778.5,397.5,886.5,381.0,1.92105,94300.0
36,Fremont,CA,37.54044776119403,-121.97805970149254,21.65671641791045,5004.850746268657,926.6865671641792,2573.7611940298507,893.5671641791045,5.112544776119403,256144.79104477607
37,Fresno,CA,36.77412408759124,-119.78916058394162,27.755474452554743,2523.507299270073,508.7546468401487,1393.492700729927,483.3321167883212,2.930399270072993,83401.09489051095
38,Fullerton,CA,33.88019047619048,-117.92714285714284,27.44761904761905,1896.5619047619048,371.4077669902912,1009.3523809523808,355.5809523809524,4.885119047619048,236368.59047619047
39,Garden Grove,CA,33.77804347826087,-117.9607608695652,27.597826086956523,2781.782608695652,573.4333333333333,1799.4565217391305,559.2934782608696,4.17046847826087,201895.65217391303
40,Gilroy,CA,37.010714285714286,-121.57142857142856,21.142857142857142,4037.642857142857,755.9285714285714,2467.1428571428573,732.8571428571429,3.933521428571429,243400.0
41,Glendale,CA,34.168688524590166,-118.25491803278688,32.57377049180328,2575.811475409836,607.775,1507.311475409836,574.6229508196722,4.133736885245901,286058.2213114754
42,Hanford,CA,36.3321875,-119.6528125,24.75,1872.3125,376.40625,1016.53125,352.1875,2.744021875,74362.5
43,Hayward,CA,37.646868686868686,-122.07656565656566,30.22222222222222,2134.79797979798,453.6666666666667,1208.2727272727273,432.010101010101,3.81410101010101,191399.0
44,Healdsburg,CA,38.595,-122.825,29.0,3959.5,762.0,1511.5,627.0,3.6373,185250.0
45,Huntington Beach,CA,33.690625,-118.00151785714286,20.017857142857142,3379.9553571428573,626.9459459459459,1551.0892857142858,591.8571428571429,5.557138392857143,299928.6339285714
46,Huron,CA,36.19,-120.09,12.0,1923.0,559.0,2809.0,535.0,1.4191,55100.0
47,Indio,CA,33.725,-116.231,21.0,3127.05,763.2105263157895,2062.15,610.2,2.734955,95620.0
48,Inglewood,CA,33.958194444444445,-118.345,35.916666666666664,2323.5,574.2957746478874,1635.3333333333333,539.2638888888889,3.422048611111111,173533.33333333334
49,Irvine,CA,33.678585858585855,-117.79232323232324,12.08080808080808,2478.979797979798,444.7676767676768,1183.171717171717,428.93939393939394,5.991769696969697,282056.6060606061
50,King City,CA,36.205,-121.125,16.0,1794.0,458.0,1375.0,363.5,2.5333,119700.0
51,Laguna Beach,CA,33.529999999999994,-117.7742105263158,34.26315789473684,2515.0526315789475,511.6842105263158,908.3157894736842,445.05263157894734,5.674926315789474,458110.94736842107
52,Lake Almanor Country Club,CA,40.25,-121.15,14.0,5156.0,880.0,616.0,281.0,3.3462,145200.0
53,Lakeport,CA,39.05,-122.92,27.0,2339.5,459.5,1098.0,409.0,3.05545,99850.0
54,Lancaster,CA,34.68888888888889,-118.1475925925926,21.90740740740741,3951.648148148148,735.0555555555555,1960.9259259259256,666.3888888888889,3.6169166666666666,132951.85185185185
55,Lincoln,CA,38.8925,-121.2925,27.25,1307.25,248.25,744.25,245.5,3.152925,98750.0
56,Livingston,CA,37.39,-120.71,25.5,1079.5,250.5,1130.5,251.0,2.93895,73250.0
57,Lodi,CA,38.125238095238096,-121.27333333333333,27.761904761904763,2505.7619047619046,551.2857142857143,1451.809523809524,525.7619047619048,2.8793333333333333,110766.66666666669
58,Long Beach,CA,33.80559485530547,-118.16189710610932,36.69774919614148,2232.659163987138,540.4180064308682,1328.279742765273,504.3344051446945,3.616231832797427,227261.1221864952
59,Los Angeles,CA,34.079169550173006,-118.3624178200692,35.54584775086505,2274.69160899654,549.5193151887621,1475.6431660899657,515.844723183391,3.6469564446366793,245040.098183391
60,Madera,CA,36.96074074074074,-120.06407407407409,26.0,1900.7777777777776,391.8148148148149,1190.2592592592594,374.5925925925926,2.3181296296296297,66337.03703703704
61,Manteca,CA,37.808703703703706,-121.21407407407408,23.203703703703702,1951.648148148148,375.9814814814815,1243.2407407407406,362.3888888888889,3.4024259259259257,134609.25925925927
62,Marina,CA,36.68333333333333,-121.79666666666668,17.333333333333332,6456.666666666667,1461.3333333333333,4046.3333333333335,1400.6666666666667,3.161566666666667,175100.0
63,Merced,CA,37.310625,-120.4771875,22.8125,2598.71875,556.21875,1670.59375,534.5,2.690640625,92746.875
64,Milpitas,CA,37.43967741935484,-121.89064516129032,19.12903225806452,2617.548387096774,496.0,1627.451612903226,479.9354838709677,6.239196774193548,281600.0967741936
65,Mission Viejo,CA,33.60913043478261,-117.65652173913044,14.282608695652174,3439.0652173913045,557.1590909090909,1564.3260869565215,541.1304347826087,6.398128260869565,268134.7826086957
66,Modesto,CA,37.66,-120.99480916030534,26.15267175572519,2548.312977099237,508.26356589147287,1380.297709923664,480.0381679389313,3.004318320610687,125015.26717557252
67,Monterey,CA,36.59739130434782,-121.88869565217392,29.39130434782609,2406.1739130434785,536.4545454545455,1142.695652173913,492.8695652173913,3.68674347826087,273604.39130434784
68,Moreno Valley,CA,33.92769230769231,-117.22538461538464,8.653846153846153,8675.923076923076,1485.3076923076924,4645.346153846154,1369.0,4.0094653846153845,158180.8076923077
69,Mountain View,CA,37.39096774193549,-122.08225806451614,26.82258064516129,2187.2580645161293,513.6,1098.3870967741937,484.9516129032258,4.69201935483871,327940.4193548387
70,Murrieta,CA,33.574285714285715,-117.19,3.571428571428572,10871.142857142857,1759.142857142857,3856.714285714286,1340.2857142857142,4.381314285714286,217428.57142857145
71,Napa,CA,38.30480769230769,-122.29846153846157,29.57692307692308,2449.846153846154,479.34615384615387,1209.7307692307693,459.2884615384616,3.473275,177169.23076923078
72,Norwalk,CA,33.90763888888889,-118.08499999999998,34.5,1591.125,348.2608695652174,1194.7083333333333,332.05555555555554,3.864643055555556,163701.38888888888
73,Oakdale,CA,37.76666666666667,-120.85416666666669,28.58333333333333,997.25,213.0,530.1666666666666,204.75,2.142575,94325.0
74,Oakland,CA,37.79332446808511,-122.21890957446809,43.41489361702128,1783.5797872340424,398.62566844919786,960.4946808510638,371.8457446808511,3.129589095744681,170970.48670212767
75,Oceanside,CA,33.21029411764706,-117.32573529411764,17.58823529411765,3531.779411764706,714.6764705882352,1834.235294117647,659.2352941176471,3.179083823529412,169326.48529411765
76,Ontario,CA,34.053636363636365,-117.63670454545456,24.15909090909091,2566.818181818182,517.8823529411765,1615.25,488.625,3.505917045454545,146105.68181818182
77,Orange,CA,33.8015625,-117.83796875,26.0,3250.59375,597.25,1729.0625,577.9375,4.768075,236975.0
78,Oxnard,CA,34.19018181818182,-119.18109090909093,24.745454545454542,3083.9636363636364,653.5849056603773,2274.836363636364,632.3454545454546,3.5453890909090906,212530.9636363636
79,Palm Springs,CA,33.816296296296294,-116.53148148148148,19.444444444444443,5304.666666666667,1151.4074074074074,1574.4814814814815,719.9629629629629,2.954177777777778,164970.40740740742
80,Palmdale,CA,34.58428571428571,-118.09035714285712,15.714285714285714,5822.964285714285,1057.357142857143,2995.928571428572,952.1785714285714,3.7651285714285714,141764.2857142857
81,Palo Alto,CA,37.432307692307695,-122.13596153846152,38.84615384615385,2741.6346153846152,492.4,1246.4423076923076,548.2884615384615,6.002130769230769,432733.0
82,Pasadena,CA,34.15768,-118.13072,39.952,2212.2,469.616,1197.36,445.472,3.9900616,261568.904
83,Petaluma,CA,38.24046511627907,-122.63906976744184,29.88372093023256,2520.279069767442,444.7619047619048,1190.0232558139537,437.7674418604651,4.06086511627907,218925.58139534885
84,Pomona,CA,34.06246376811594,-117.7517391304348,34.072463768115945,2630.231884057971,567.2794117647059,1913.0434782608693,533.0869565217391,2.928068115942029,122850.72463768117
85,Porterville,CA,36.07233333333333,-119.03266666666669,23.4,2159.6,436.9655172413793,1283.0666666666666,418.73333333333335,2.5137033333333334,67673.33333333333
86,Poway,CA,32.98434782608695,-117.03521739130434,15.91304347826087,3976.217391304348,641.0434782608696,1919.1739130434785,619.6521739130435,5.888199999999999,254504.39130434784
87,Rainbow CDP,CA,33.41,-117.19,16.0,3031.0,554.0,1301.0,518.0,4.0882,296100.0
88,Rancho Cordova,CA,38.5888,-121.2984,21.6,3246.32,633.75,1651.32,597.6,3.317408,107600.0
89,Rancho Cucamonga,CA,34.121071428571426,-117.58,12.5,7434.571428571428,1302.4642857142858,3628.821428571429,1205.821428571429,4.672553571428572,192442.85714285716
90,Redding,CA,40.56897959183674,-122.36775510204085,21.714285714285715,2873.0408163265306,574.9387755102041,1407.1632653061224,549.0204081632653,2.573195918367347,93218.36734693876
91,Redwood City,CA,37.47979166666666,-122.2325,31.6875,3021.2916666666665,629.5625,1568.3125,599.4166666666666,4.629866666666667,335885.5
92,Reedley,CA,36.598333333333336,-119.44833333333334,22.0,1446.1666666666667,271.1666666666667,876.1666666666666,257.6666666666667,3.1327,88600.0
93,Richmond,CA,37.944,-122.343,35.9375,2059.575,436.925,1102.475,413.725,2.930735,131890.0
94,Riverside,CA,33.949481481481484,-117.40585185185186,28.96296296296296,3090.281481481481,596.4626865671642,1699.8222222222223,564.7851851851852,3.584005185185185,130603.70370370372
95,Roseville,CA,38.7435,-121.2785,20.35,5181.85,923.55,2365.45,866.1,4.019,151785.0
96,Sacramento,CA,38.55993150684932,-121.46041095890412,34.102739726027394,2616.3356164383563,548.4862068965517,1315.8253424657537,515.6301369863014,2.8039318493150684,115436.301369863
97,Salinas,CA,36.68,-121.64378378378376,28.783783783783782,4214.891891891892,942.891891891892,2974.810810810811,912.4594594594596,3.0971864864864864,159521.62162162163
98,San Bernardino,CA,34.13161971830986,-117.2893661971831,31.218309859154928,2194.4295774647885,470.3333333333333,1306.605633802817,434.3380281690141,2.710938028169014,93641.54929577465
99,San Clemente,CA,33.43322580645162,-117.6183870967742,18.870967741935484,2847.2258064516127,554.7333333333333,1197.4193548387098,487.1290322580645,4.801812903225806,308032.32258064515
100,San Diego,CA,32.77676792223572,-117.13894289185906,26.636695018226003,2465.744835965978,526.5184275184275,1322.0911300121506,494.0692588092345,3.626702673147023,198181.439854192
101,San Francisco,CA,37.758382608695655,-122.4420695652174,47.149565217391306,2307.0,541.3221830985915,1221.7252173913043,505.7443478260869,3.9445991304347823,338759.1147826087
102,San Jose,CA,37.30758483033932,-121.87409181636728,25.97804391217565,2762.5808383233534,541.5502008032129,1630.8163672654691,526.1676646706587,4.778534730538922,251862.2854291417
103,San Luis Obispo,CA,35.27583333333333,-120.6625,29.375,2275.583333333333,525.4166666666666,1457.9166666666667,501.0833333333333,2.8012125,226766.66666666663
104,San Mateo,CA,37.55234567901235,-122.31308641975308,37.333333333333336,2445.2098765432097,502.4691358024691,1166.0987654320988,482.1975308641975,4.922728395061728,353475.4567901235
105,San Rafael,CA,37.983030303030304,-122.52242424242424,32.15151515151515,3448.090909090909,661.3939393939394,1537.909090909091,639.4848484848485,4.774393939393939,316248.51515151514
106,Santa Ana,CA,33.7385,-117.88207142857144,25.38571428571429,2102.178571428572,500.7697841726618,1984.107142857143,479.2214285714286,3.661729285714286,181561.42857142855
107,Santa Barbara,CA,34.421058823529414,-119.71070588235294,35.34117647058824,1818.6941176470589,414.421686746988,995.2588235294118,394.6,3.659597647058824,323448.3058823529
108,Santa Clara,CA,37.35074626865672,-121.96925373134329,31.35820895522388,2419.8805970149256,520.3076923076923,1298.4776119402984,505.4925373134328,4.521802985074627,259756.71641791044
109,Santa Clarita,CA,34.41685714285714,-118.5102857142857,15.771428571428572,6895.971428571429,1219.5882352941176,3526.8571428571427,1142.8,5.404674285714286,255077.2
110,Santa Cruz,CA,36.97259259259259,-122.0262962962963,35.55555555555556,1574.6296296296296,340.7962962962963,878.0370370370371,318.6296296296296,3.4637962962962963,252025.92592592596
111,Santa Maria,CA,34.94833333333333,-120.43479166666668,22.14583333333333,2158.270833333333,440.875,1286.9791666666667,420.3125,3.225402083333333,145060.41666666666
112,Santa Monica,CA,34.02068493150685,-118.48109589041096,36.013698630136986,2479.3698630136987,632.125,1135.7534246575342,587.3424657534247,4.2116561643835615,421727.69863013696
113,Santa Rosa,CA,38.44485981308412,-122.70317757009346,25.39252336448598,2616.691588785047,516.1775700934579,1267.7757009345794,494.3457943925234,3.463935514018692,189266.3551401869
114,Seaside,CA,36.61125,-121.83375,26.8125,4429.5,1010.7333333333332,3322.625,904.75,2.8271625,149543.75
115,Sebastopol,CA,38.39411764705883,-122.83823529411764,23.47058823529412,1976.2941176470588,370.4705882352941,950.470588235294,357.29411764705884,4.0735117647058825,238705.8823529412
116,Simi Valley,CA,34.27532258064517,-118.73274193548389,20.306451612903224,3283.322580645161,541.7333333333333,1643.516129032258,525.3709677419355,5.408632258064516,234433.87096774197
117,Soledad,CA,36.425,-121.32,25.75,1835.75,428.75,1824.25,412.75,2.761725,100675.0
118,South Gate,CA,33.94679245283019,-118.20037735849056,39.528301886792455,1693.9245283018868,428.2075471698113,1636.0566037735848,419.5660377358491,2.8485377358490567,161145.28301886792
119,South San Francisco,CA,37.65615384615384,-122.42730769230768,34.23076923076923,3107.9615384615386,659.2307692307693,1845.0,634.8461538461538,4.326288461538462,263923.07692307694
120,Stanton,CA,33.80291666666667,-117.99166666666667,25.166666666666668,2750.2916666666665,603.2916666666666,1718.0,575.375,3.723091666666667,183187.5
121,Stockton,CA,37.981608040201,-121.30412060301508,28.939698492462316,1971.0201005025128,414.2171717171717,1176.4321608040202,392.6884422110553,2.9265085427135675,101566.83417085429
122,Suisun City,CA,38.24666666666667,-122.02666666666666,22.33333333333333,2023.5,404.6666666666667,1263.3333333333333,382.6666666666667,3.733983333333333,139183.33333333334
123,Sunnyvale,CA,37.365,-122.0268085106383,25.351063829787236,2659.7872340425533,577.4516129032259,1311.436170212766,546.2872340425532,5.224021276595745,317954.2978723404
124,Susanville,CA,40.41666666666666,-120.65666666666668,42.0,2257.0,485.0,1078.3333333333333,445.6666666666667,2.3313666666666664,66966.66666666667
125,Temecula,CA,33.501999999999995,-117.146,5.8,13340.0,2293.4,5798.6,1963.8,4.803520000000001,245020.2
126,Thousand Oaks,CA,34.18924242424242,-118.88030303030304,19.393939393939394,3365.181818181818,543.6769230769231,1508.030303030303,529.2272727272727,6.052471212121212,298084.8939393939
127,Tijuana,,32.54,-117.04,7.0,938.0,297.0,1187.0,282.0,1.2667,67500.0
128,Torrance,CA,33.83763440860215,-118.34150537634407,32.225806451612904,2756.6451612903224,576.010752688172,1403.0967741935483,550.247311827957,4.989984946236559,328929.06451612903
129,Tracy,CA,37.742758620689656,-121.43103448275862,27.55172413793104,2289.793103448276,431.3103448275862,1196.7931034482758,397.0689655172414,3.64571724137931,148324.1379310345
130,Turlock,CA,37.50757575757576,-120.84969696969696,22.33333333333333,2520.939393939394,519.5454545454545,1431.090909090909,494.969696969697,2.9183969696969694,128448.48484848483
131,Vacaville,CA,38.35478260869565,-121.97847826086957,19.93478260869565,2685.1739130434785,483.8043478260869,1471.0,463.8478260869565,4.221971739130435,147054.34782608697
132,Vallejo,CA,38.1115,-122.23466666666668,35.18333333333333,3460.116666666667,671.4137931034483,1777.8,628.2166666666667,3.3063100000000003,125881.66666666669
133,Ventura,CA,34.27307692307692,-119.23307692307692,28.923076923076923,2726.646153846154,543.1846153846154,1364.2,515.8,4.216044615384615,242972.3230769231
134,Victorville,CA,34.517599999999995,-117.3204,15.6,4069.12,794.88,2176.72,730.76,2.654,95496.0
135,Visalia,CA,36.32322580645161,-119.30774193548388,20.258064516129032,2348.6290322580644,456.0983606557377,1278.4032258064517,440.85483870967744,3.254083870967742,93846.7741935484
136,Vista,CA,33.2,-117.23764705882353,16.725490196078432,2678.1960784313724,540.6862745098039,1446.0980392156862,502.0196078431373,3.486160784313725,174864.70588235295
137,West Covina,CA,34.06225806451613,-117.91951612903226,31.467741935483872,2746.1774193548385,504.8833333333333,1659.8870967741937,500.2096774193548,4.533167741935483,210870.96774193548
138,Westmorland,CA,33.04,-115.62,18.5,1065.0,237.5,755.5,223.5,2.1716,61600.0
139,Yuba City,CA,39.136,-121.62866666666667,23.933333333333334,2518.133333333333,502.4,1287.4666666666667,481.3666666666667,2.88413,92993.33333333331
