Fips,Metro_area,Latitude,Longitude,Share_of_recent_buyers,State
29180,"Lafayette, LA Metro Area",29.9277,-92.1272,5.20%,LA
29100,"La Crosse-Onalaska, WI-MN Metro Area",43.7953,-91.3207,5.90%,WI
29020,"Kokomo, IN Metro Area",40.4713,-86.1192,6.50%,IN
28940,"Knoxville, TN Metro Area",36.0263,-84.2164,6.80%,TN
28660,"Killeen-Temple, TX Metro Area",31.2315,-97.9026,7.40%,TX
28420,"Kennewick-Richland, WA Metro Area",46.2878,-119.345,5.70%,WA
28140,"Kansas City, MO-KS Metro Area",38.9071,-94.585,6.90%,MO
28100,"Kankakee, IL Metro Area",41.1467,-87.8844,5.80%,IL
28020,"Kalamazoo-Portage, MI Metro Area",42.2448,-86.1915,7.90%,MI
27980,"Kahului-Wailuku-Lahaina, HI Metro Area",20.7753,-156.2914,6.80%,HI
27900,"Joplin, MO Metro Area",37.0551,-94.3384,6.40%,MO
27860,"Jonesboro, AR Metro Area",35.7168,-90.662,5.80%,AR
27780,"Johnstown, PA Metro Area",40.4843,-78.7335,5.30%,PA
27620,"Jefferson City, MO Metro Area",38.6763,-91.9296,6.30%,MO
27500,"Janesville-Beloit, WI Metro Area",42.6687,-89.072,5.70%,WI
27180,"Jackson, TN Metro Area",35.6235,-88.8414,5.30%,TN
27140,"Jackson, MS Metro Area",32.3537,-90.1804,5.00%,MS
27100,"Jackson, MI Metro Area",42.2474,-84.4239,7.90%,MI
27060,"Ithaca, NY Metro Area",42.4431,-76.4726,5.00%,NY
26980,"Iowa City, IA Metro Area",41.5122,-91.5984,7.60%,IA
26900,"Indianapolis-Carmel-Anderson, IN Metro Area",39.7141,-86.3223,7.40%,IN
26820,"Idaho Falls, ID Metro Area",43.6268,-112.6883,7.00%,ID
26620,"Huntsville, AL Metro Area",34.7373,-86.7585,6.90%,AL
26580,"Huntington-Ashland, WV-KY-OH Metro Area",38.3457,-82.3461,5.10%,WV
26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",29.6976,-95.3147,6.70%,TX
26300,"Hot Springs, AR Metro Area",34.5808,-93.1061,7.80%,AR
25940,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",32.3932,-80.7447,6.50%,SC
25860,"Hickory-Lenoir-Morganton, NC Metro Area",35.8348,-81.5015,6.60%,NC
25620,"Hattiesburg, MS Metro Area",31.172,-89.2475,5.40%,MS
25540,"Hartford-West Hartford-East Hartford, CT Metro Area",41.6081,-72.6305,5.50%,CT
25420,"Harrisburg-Carlisle, PA Metro Area",40.3018,-77.1353,6.20%,PA
25180,"Hagerstown-Martinsburg, MD-WV Metro Area",39.4937,-78.004,6.70%,MD
25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area",30.4381,-89.0415,6.00%,MS
24860,"Greenville-Anderson-Mauldin, SC Metro Area",34.7094,-82.4635,6.90%,SC
24660,"Greensboro-High Point, NC Metro Area",36.0241,-79.7912,7.60%,NC
24340,"Grand Rapids-Wyoming, MI Metro Area",42.9444,-86.1979,6.40%,MI
24260,"Grand Island, NE Metro Area",41.0467,-98.2882,7.60%,NE
24220,"Grand Forks, ND-MN Metro Area",47.8469,-97.1174,6.00%,ND
24140,"Goldsboro, NC Metro Area",35.372,-77.9815,5.90%,NC
24020,"Glens Falls, NY Metro Area",43.3747,-73.562,6.30%,NY
23900,"Gettysburg, PA Metro Area",39.8949,-77.226,6.10%,PA
23580,"Gainesville, GA Metro Area",34.3063,-83.7851,6.10%,GA
23540,"Gainesville, FL Metro Area",29.681,-82.5053,7.20%,FL
23420,"Fresno, CA Metro Area",36.7463,-119.6363,6.80%,CA
23060,"Fort Wayne, IN Metro Area",40.931,-85.0695,7.40%,IN
22900,"Fort Smith, AR-OK Metro Area",35.1334,-94.5337,5.30%,AR
22540,"Fond du Lac, WI Metro Area",43.741,-88.5229,5.80%,WI
22520,"Florence-Muscle Shoals, AL Metro Area",34.7873,-87.7684,6.10%,AL
22420,"Flint, MI Metro Area",43.0017,-83.6932,7.70%,MI
22380,"Flagstaff, AZ Metro Area",35.6301,-112.0424,6.50%,AZ
22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",36.2585,-94.0987,6.40%,AR
22180,"Fayetteville, NC Metro Area",35.0503,-79.0533,8.00%,NC
21820,"Fairbanks, AK Metro Area",64.8563,-146.3668,6.80%,AK
21780,"Evansville, IN-KY Metro Area",37.9423,-87.6439,5.60%,IN
21420,"Enid, OK Metro Area",36.3791,-97.7828,7.80%,OK
21340,"El Paso, TX Metro Area",31.316,-105.423,5.80%,TX
21300,"Elmira, NY Metro Area",42.1475,-76.7624,5.30%,NY
20740,"Eau Claire, WI Metro Area",44.9439,-91.2868,7.40%,WI
20260,"Duluth, MN-WI Metro Area",47.3943,-92.4299,7.80%,MN
20220,"Dubuque, IA Metro Area",42.4848,-90.8953,7.10%,IA
20020,"Dothan, AL Metro Area",31.3837,-85.2498,5.90%,AL
19820,"Detroit-Warren-Dearborn, MI Metro Area",42.6774,-83.3276,6.20%,MI
19780,"Des Moines-West Des Moines, IA Metro Area",41.5114,-94.0146,7.90%,IA
19380,"Dayton, OH Metro Area",39.8754,-84.2681,6.40%,OH
19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",41.4233,-90.3903,6.90%,IA
19300,"Daphne-Fairhope-Foley, AL Metro Area",30.7327,-87.7626,6.90%,AL
19100,"Dallas-Fort Worth-Arlington, TX Metro Area",32.744,-97.0689,7.10%,TX
19060,"Cumberland, MD-WV Metro Area",39.4802,-78.8921,6.00%,WV
18700,"Corvallis, OR Metro Area",44.4992,-123.4043,6.30%,OR
18580,"Corpus Christi, TX Metro Area",27.9401,-97.3848,5.30%,TX
18140,"Columbus, OH Metro Area",40.0371,-82.8533,7.60%,OH
17980,"Columbus, GA-AL Metro Area",32.4672,-84.8711,6.60%,GA
17900,"Columbia, SC Metro Area",34.0403,-81.274,6.30%,SC
17460,"Cleveland-Elyria, OH Metro Area",41.6183,-81.6755,5.70%,OH
17420,"Cleveland, TN Metro Area",35.1727,-84.6512,7.40%,TN
17140,"Cincinnati, OH-KY-IN Metro Area",39.1013,-84.4863,6.80%,OH
16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",41.703,-87.9363,6.20%,IL
16860,"Chattanooga, TN-GA Metro Area",35.0737,-85.4298,6.10%,TN
16820,"Charlottesville, VA Metro Area",37.9026,-78.5249,5.70%,VA
16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",35.2588,-80.889,6.80%,NC
16700,"Charleston-North Charleston, SC Metro Area",32.9946,-79.8543,8.00%,SC
16620,"Charleston, WV Metro Area",38.2159,-81.5564,5.80%,WV
16540,"Chambersburg-Waynesboro, PA Metro Area",40.005,-77.7066,6.00%,PA
16180,"Carson City, NV Metro Area",39.1677,-119.7231,8.00%,NV
16060,"Carbondale-Marion, IL Metro Area",37.759,-89.1875,6.60%,IL
15940,"Canton-Massillon, OH Metro Area",40.7061,-81.2833,6.70%,OH
15680,"California-Lexington Park, MD Metro Area",38.1949,-76.559,6.70%,MD
15500,"Burlington, NC Metro Area",36.0465,-79.4005,5.60%,NC
15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",43.0374,-78.7361,5.20%,NY
15260,"Brunswick, GA Metro Area",31.3451,-81.4428,6.40%,GA
14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",41.3084,-73.3137,5.30%,CT
14500,"Boulder, CO Metro Area",40.0879,-105.3448,6.70%,CO
14460,"Boston-Cambridge-Newton, MA-NH Metro Area",42.5684,-71.1109,5.90%,MA
14020,"Bloomington, IN Metro Area",39.233,-86.7131,5.40%,IN
14010,"Bloomington, IL Metro Area",40.403,-88.8625,6.10%,IL
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",37.0952,-80.5172,5.20%,VA
13900,"Bismarck, ND Metro Area",46.6357,-100.8998,6.60%,ND
13820,"Birmingham-Hoover, AL Metro Area",33.4602,-86.8194,7.00%,AL
13740,"Billings, MT Metro Area",45.8758,-108.4747,7.90%,MT
13140,"Beaumont-Port Arthur, TX Metro Area",30.3465,-94.382,7.10%,TX
13020,"Bay City, MI Metro Area",43.7369,-83.9361,7.40%,MI
12980,"Battle Creek, MI Metro Area",42.2464,-85.007,5.50%,MI
12940,"Baton Rouge, LA Metro Area",30.5351,-91.1555,6.30%,LA
12700,"Barnstable Town, MA Metro Area",41.7997,-70.208,5.40%,MA
12620,"Bangor, ME Metro Area",45.52,-68.4325,7.80%,ME
12580,"Baltimore-Columbia-Towson, MD Metro Area",39.216,-76.6747,5.90%,MD
12540,"Bakersfield, CA Metro Area",35.2949,-118.7204,6.50%,CA
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",33.7311,-84.4002,7.20%,GA
12020,"Athens-Clarke County, GA Metro Area",33.9817,-83.1612,7.60%,GA
11700,"Asheville, NC Metro Area",35.6051,-82.7324,6.50%,NC
11540,"Appleton, WI Metro Area",44.2411,-88.2713,5.30%,WI
11500,"Anniston-Oxford-Jacksonville, AL Metro Area",33.7622,-85.842,5.60%,AL
11460,"Ann Arbor, MI Metro Area",42.2529,-83.8375,6.70%,MI
11260,"Anchorage, AK Metro Area",62.1073,-149.9812,5.30%,AK
11180,"Ames, IA Metro Area",42.0355,-93.4652,7.20%,IA
11100,"Amarillo, TX Metro Area",35.1882,-102.0644,6.10%,TX
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",40.7763,-75.3629,5.80%,PA
10740,"Albuquerque, NM Metro Area",35.2415,-106.7266,7.10%,NM
10580,"Albany-Schenectady-Troy, NY Metro Area",42.8758,-73.7017,5.00%,NY
10540,"Albany, OR Metro Area",44.4968,-122.5258,6.30%,OR
10500,"Albany, GA Metro Area",31.5229,-84.045,6.20%,GA
10420,"Akron, OH Metro Area",41.1284,-81.3447,5.10%,OH
10180,"Abilene, TX Metro Area",32.5202,-99.8793,7.10%,TX
49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",41.2008,-80.501,4.90%,OH
48700,"Williamsport, PA Metro Area",41.333,-77.0553,3.50%,PA
47940,"Waterloo-Cedar Falls, IA Metro Area",42.5578,-92.3184,4.80%,IA
47020,"Victoria, TX Metro Area",28.7455,-97.1672,3.60%,TX
46660,"Valdosta, GA Metro Area",30.8879,-83.3553,5.00%,GA
46340,"Tyler, TX Metro Area",32.4113,-95.246,5.00%,TX
46220,"Tuscaloosa, AL Metro Area",33.0453,-87.5739,3.70%,AL
45500,"Texarkana, TX-AR Metro Area",33.4821,-94.2347,3.90%,TX
45460,"Terre Haute, IN Metro Area",39.5257,-87.273,4.60%,IN
44940,"Sumter, SC Metro Area",33.906,-80.3415,4.30%,SC
44700,"Stockton-Lodi, CA Metro Area",37.8911,-121.2479,4.10%,CA
43580,"Sioux City, IA-NE-SD Metro Area",42.6474,-96.4377,4.00%,IA
43100,"Sheboygan, WI Metro Area",43.7185,-87.6387,3.70%,WI
42540,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",41.2768,-75.8782,4.40%,PA
42100,"Santa Cruz-Watsonville, CA Metro Area",37.0528,-122.0429,4.50%,CA
41860,"San Francisco-Oakland-Hayward, CA Metro Area",37.6888,-122.0651,4.90%,CA
41660,"San Angelo, TX Metro Area",31.3904,-100.6915,4.00%,TX
40980,"Saginaw, MI Metro Area",43.3487,-84.0339,4.70%,MI
40660,"Rome, GA Metro Area",34.3331,-85.1945,5.00%,GA
40580,"Rocky Mount, NC Metro Area",35.9394,-77.7743,4.30%,NC
40420,"Rockford, IL Metro Area",42.326,-89.0517,4.60%,IL
40380,"Rochester, NY Metro Area",43.0717,-77.3205,4.90%,NY
40220,"Roanoke, VA Metro Area",37.2914,-80.0466,4.80%,VA
39740,"Reading, PA Metro Area",40.4076,-75.9297,4.60%,PA
38300,"Pittsburgh, PA Metro Area",40.4467,-79.9094,4.90%,PA
37620,"Parkersburg-Vienna, WV Metro Area",39.1532,-81.5332,3.60%,WV
37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",34.447,-119.0772,4.50%,CA
36980,"Owensboro, KY Metro Area",37.6899,-87.1226,5.00%,KY
35980,"Norwich-New London, CT Metro Area",41.4646,-72.0528,4.60%,CT
35380,"New Orleans-Metairie, LA Metro Area",29.7839,-89.6135,4.60%,LA
34620,"Muncie, IN Metro Area",40.2278,-85.3965,3.30%,IN
33700,"Modesto, CA Metro Area",37.6057,-120.8871,4.70%,CA
33660,"Mobile, AL Metro Area",30.6582,-88.1993,4.60%,AL
33540,"Missoula, MT Metro Area",47.1162,-113.9448,4.30%,MT
33140,"Michigan City-La Porte, IN Metro Area",41.4993,-86.7273,3.00%,IN
32580,"McAllen-Edinburg-Mission, TX Metro Area",26.4089,-98.1861,3.50%,TX
31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",34.0786,-118.3232,4.30%,CA
30020,"Lawton, OK Metro Area",34.4589,-98.4007,4.80%,OK
29700,"Laredo, TX Metro Area",27.7321,-99.2864,3.60%,TX
29340,"Lake Charles, LA Metro Area",30.0083,-93.1892,3.00%,LA
28740,"Kingston, NY Metro Area",41.8791,-74.2028,3.70%,NY
28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",36.5855,-82.365,4.80%,TN
26380,"Houma-Thibodaux, LA Metro Area",29.4536,-90.6521,4.80%,LA
25980,"Hinesville, GA Metro Area",31.8068,-81.6438,4.60%,GA
25500,"Harrisonburg, VA Metro Area",38.5283,-78.9404,4.40%,VA
25220,"Hammond, LA Metro Area",30.6175,-90.4081,4.60%,LA
24780,"Greenville, NC Metro Area",35.5802,-77.3635,3.30%,NC
23460,"Gadsden, AL Metro Area",34.0211,-86.0433,2.60%,AL
22500,"Florence, SC Metro Area",34.1554,-79.8506,4.80%,SC
22140,"Farmington, NM Metro Area",36.5004,-108.3357,2.30%,NM
22020,"Fargo, ND-MN Metro Area",46.934,-96.9278,4.90%,ND
21500,"Erie, PA Metro Area",42.1824,-80.1407,4.50%,PA
21140,"Elkhart-Goshen, IN Metro Area",41.5978,-85.8585,4.00%,IN
21060,"Elizabethtown-Fort Knox, KY Metro Area",37.8104,-85.9517,4.40%,KY
20940,"El Centro, CA Metro Area",33.0262,-115.3571,3.70%,CA
19500,"Decatur, IL Metro Area",39.8549,-88.9817,3.20%,IL
19460,"Decatur, AL Metro Area",34.552,-87.1635,3.80%,AL
19180,"Danville, IL Metro Area",40.1792,-87.7362,3.20%,IL
19140,"Dalton, GA Metro Area",34.7858,-84.8822,3.20%,GA
18020,"Columbus, IN Metro Area",39.1931,-85.8842,3.60%,IN
16580,"Champaign-Urbana, IL Metro Area",40.3948,-88.1963,4.70%,IL
16020,"Cape Girardeau, MO-IL Metro Area",37.2885,-89.7109,3.20%,MO
15180,"Brownsville-Harlingen, TX Metro Area",26.1248,-97.4854,4.00%,TX
14100,"Bloomsburg-Berwick, PA Metro Area",41.0428,-76.4941,3.80%,PA
13780,"Binghamton, NY Metro Area",42.2062,-76.0867,3.80%,NY
13380,"Bellingham, WA Metro Area",48.8142,-121.8478,4.90%,WA
13220,"Beckley, WV Metro Area",37.8857,-81.1637,4.10%,WV
12260,"Augusta-Richmond County, GA-SC Metro Area",33.3936,-82.0247,4.60%,GA
12100,"Atlantic City-Hammonton, NJ Metro Area",39.5086,-74.6812,4.00%,NJ
11020,"Altoona, PA Metro Area",40.4926,-78.3484,4.60%,PA
10780,"Alexandria, LA Metro Area",31.3434,-92.5269,4.50%,LA
